Sequence ID	Full Name	Target Name	UniProt ID	Entrez Gene Name
34578-105	Uncharacterized protein CXorf66	CX066	Q5JRM2	CXorf66
34580-9	Microsomal glutathione S-transferase 2	MGST2	Q99735	MGST2
34586-36	Uncharacterized membrane protein C3orf80	CC080	F5H4A9	C3orf80
3459-49	Platelet-derived growth factor receptor beta	PDGF Rb	P09619	PDGFRB
34590-136	Protein shisa-8	SHSA8	B8ZZ34	SHISA8
34596-5	Keratinocyte-associated transmembrane protein 2	KCT2	Q8NC54	KCT2
34598-20	High affinity immunoglobulin epsilon receptor gamma-subunit	FCERG	P30273	FCER1G
34599-42	Membrane-spanning 4-domains subfamily A member 3	MS4A3	Q96HJ5	MS4A3
34601-18	Dolichol-phosphate mannosyltransferase subunit 3	DPM3	Q9P2X0	DPM3
34602-14	Uncharacterized protein C7orf69	CG069	Q9H7B7	PKD1L1-AS1 | C7orf69
34603-170	Estradiol 17-beta-dehydrogenase 2	DHB2	P37059	HSD17B2
34606-163	Hereditary hemochromatosis protein	HFE	Q30201	HFE
34607-80	Cytochrome c oxidase subunit 8A, mitochondrial	COX8A	P10176	COX8A
34608-179	Complement C1q tumor necrosis factor-related protein 2	C1QT2	Q9BXJ5	C1QTNF2
3461-58	Brevican core protein	PGCB	Q96GW7	BCAN
34610-47	Hereditary hemochromatosis protein	HFE	Q30201	HFE
34611-17	Protein shisa-6	SHSA6	Q6ZSJ9	SHISA6
34612-77	Tyrosine-protein kinase receptor UFO	AXL	P30530	AXL
34614-57	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	PIGY	Q3MUY2	PIGY
34615-111	Uncharacterized protein C1orf159	CA159	Q96HA4	C1orf159
34616-52	Small conductance calcium-activated potassium channel protein 2	KCNN2	Q9H2S1	KCNN2
34617-266	Diacylglycerol O-acyltransferase 2	DGAT2	Q96PD7	DGAT2
34618-247	Lysosome-associated membrane glycoprotein 3	LAMP3	Q9UQV4	LAMP3
34619-4	Protein HIDE1	HIDE1	A8MVS5	HIDE1
34620-10	Transmembrane protein 92	TMM92	Q6UXU6	TMEM92
34622-86	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	MA1A1	P33908	MAN1A1
34623-4	Ly6/PLAUR domain-containing protein 6B	LPD6B	Q8NI32	LYPD6B
34625-6	Zona pellucida sperm-binding protein 3	ZP3	P21754	ZP3
34628-43	Probable hydrolase PNKD	PNKD	Q8N490	PNKD
34629-96	Pituitary tumor-transforming gene 1 protein-interacting protein	PTTG	P53801	PTTG1IP
34631-6	Transmembrane protein 9B	TMM9B	Q9NQ34	TMEM9B
34632-17	Tyrosine-protein kinase receptor UFO	AXL	P30530	AXL
34637-57	CD276 antigen	B7-H3	Q5ZPR3	CD276
34639-12	CD302 antigen	CD302	Q8IX05	CD302
34641-130	Pancreatic secretory granule membrane major glycoprotein GP2	GP2	P55259	GP2
34642-60	Heat-stable enterotoxin receptor	GUC2C	P25092	GUCY2C
34643-8	Transmembrane gamma-carboxyglutamic acid protein 2	TMG2	O14669	PRRG2
34646-120	Protein sel-1 homolog 1	SE1L1	Q9UBV2	SEL1L
34647-11	Uncharacterized membrane protein C19orf24	CS024	Q9BVV8	FAM174C
34648-29	T-cell-interacting, activating receptor on myeloid cells protein 1	TARM1	B6A8C7	TARM1
34649-145	Glycophorin-E	GLPE	P15421	GYPE
34650-55	V-set and transmembrane domain-containing protein 2B	VTM2B	A6NLU5	VSTM2B
34655-39	RAMP2	RAMP2	O60895	RAMP2
34659-60	E3 ubiquitin-protein ligase RNF167	RN167	Q9H6Y7	RNF167
3466-8	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA	P17612	PRKACA
34662-77	Receptor-type tyrosine-protein phosphatase F	LAR	P10586	PTPRF
34665-75	Receptor-type tyrosine-protein phosphatase F	LAR	P10586	PTPRF
34666-63	Scotin	Scotin	Q8N114	SHISA5
34667-60	Endomucin	MUCEN	Q9ULC0	EMCN
34670-36	Cytochrome c oxidase subunit 8C, mitochondrial	COX8C	Q7Z4L0	COX8C
34672-51	Nicastrin	NICA	Q92542	NCSTN
34676-24	Chondroitin sulfate proteoglycan 5	CSPG5	O95196	CSPG5
34677-11	Epigen	EPGN	Q6UW88	EPGN
34681-33	Potassium voltage-gated channel subfamily E member 2	KCNE2	Q9Y6J6	KCNE2
34685-21	5T4 oncofetal trophoblast glycoprotein	5T4	Q13641	TPBG
34688-77	Uroplakin-3b	UPK3B	Q9BT76	UPK3B
3469-74	Ribosomal protein S6 kinase alpha-3	RPS6KA3	P51812	RPS6KA3
34690-13	Divergent protein kinase domain 1B	DIK1B	Q5VUD6	DIPK1B
34691-255	Store-operated calcium entry-associated regulatory factor	SARAF	Q96BY9	SARAF
34695-206	Sushi domain-containing protein 6	SUSD6	Q92537	SUSD6
34696-124	Tumor-associated calcium signal transducer 1	EpCam	P16422	EPCAM
34699-16	Endomucin	MUCEN	Q9ULC0	EMCN
3470-1	E-selectin	sE-Selectin	P16581	SELE
34700-173	Transmembrane emp24 domain-containing protein 6	TMED6	Q8WW62	TMED6
34702-47	Leukocyte immunoglobulin-like receptor subfamily A member 6	LIRA6	Q6PI73	LILRA6
34704-77	Immunoglobulin-like domain-containing receptor 2	ILDR2	Q71H61	ILDR2
34705-13	Calcium-activated chloride channel regulator 4	CLCA4	Q14CN2	CLCA4
34707-25	Podocalyxin	PODXL	O00592	PODXL
34708-62	prostate secretory protein binding protein	PSPBP	Q6UXB8	PI16
34709-61	Receptor-type tyrosine-protein phosphatase zeta	PTPRZ	P23471	PTPRZ1
3471-49	Serine/threonine-protein kinase 16	STK16	O75716	STK16
34710-315	Inducible T-cell costimulator	ICOS	Q9Y6W8	ICOS
34713-42	Transmembrane emp24 domain-containing protein 7	TMED7	Q9Y3B3	TMED7
34714-130	Immediate early response 3-interacting protein 1	IR3IP	Q9Y5U9	IER3IP1
34715-10	Syncytin-1	SYCY1	Q9UQF0	ERVW-1
34717-163	Receptor expression-enhancing protein 4	REEP4	Q9H6H4	REEP4
34719-6	Ifi-6-16	Ifi-6-16	P09912	IFI6
3472-40	Baculoviral IAP repeat-containing protein 5	Survivin	O15392	BIRC5
34722-8	Protein shisa-4	SHSA4	Q96DD7	SHISA4
34723-86	Immune costimulatory protein B7-H4	B7-H4	Q7Z7D3	VTCN1
34724-85	Leukocyte immunoglobulin-like receptor subfamily B member 2	ILT-4	Q8N423	LILRB2
34726-216	Sushi domain-containing protein 5	SUSD5	O60279	SUSD5
34727-78	Protein FAM209A	F209A	Q5JX71	FAM209A
34729-356	Receptor-type tyrosine-protein phosphatase mu	PTPRM	P28827	PTPRM
3473-78	Thrombopoietin Receptor	Thrombopoietin Receptor	P40238	MPL
34732-69	Cysteine and tyrosine-rich protein 1	CYYR1	Q96J86	CYYR1
34733-7	Stromal interaction molecule 2	STIM2	Q9P246	STIM2
34734-231	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	P23470	PTPRG
34735-258	CD180 antigen	CD180	Q99467	CD180
34736-106	Leucine-rich repeat-containing protein 38	LRC38	Q5VT99	LRRC38
34738-181	Nodal modulator 1	NOMO1	Q15155	NOMO1
3474-19	Thrombospondin-1	Thrombospondin-1	P07996	THBS1
34741-92	Vacuolar ATP synthase subunit S1	V-ATPase S1 subunit	Q15904	ATP6AP1
34742-234	Metaxin-1	MTX1	Q13505	MTX1
34744-5	Ly6/PLAUR domain-containing protein 5	LYPD5	Q6UWN5	LYPD5
34745-43	Matrix metalloproteinase-15	MMP-15	P51511	MMP15
34751-150	Putative gamma-taxilin 2	TXNG2	Q9BZA5	TXLNGY
34752-5	Putative charged multivesicular body protein 4B-like protein CHMP4BP1	CHM4P	P59074	CHMP4BP1
34756-178	EIF5AL1 protein	EIF5AL1	Q6IS14	EIF5AL1
34757-64	Homeobox protein Hox-B4	HXB4	P17483	HOXB4
34758-239	Ashwin	ASHWN	Q9BVC5	C2orf49
34759-42	Ubiquitin-like protein 4B	UBL4B	Q8N7F7	UBL4B
34763-3	PDZ domain-containing protein GIPC3	GIPC3	Q8TF64	GIPC3
34766-42	Putative neutrophil cytosol factor 1B	NCF1B	A6NI72	NCF1B
34767-25	Uncharacterized protein KIAA0513	K0513	O60268	KIAA0513
34768-71	UBAP1-MVB12-associated (UMA)-domain containing protein 1	UMAD1	C9J7I0	UMAD1
34769-24	Box C/D snoRNA protein 1	BCD1	Q9NWK9	ZNHIT6
3477-63	High affinity nerve growth factor receptor	TrkA	P04629	NTRK1
34772-10	SH3 domain-binding protein 5-like	3BP5L	Q7L8J4	SH3BP5L
34773-1	Inactive ADP-ribosyltransferase ARH2	ARHL1	Q8NDY3	ADPRHL1
34774-12	Protein Flattop	FLTOP	Q5VTH2	CFAP126
34775-163	Forkhead box protein O6	FOXO6	A8MYZ6	FOXO6
34776-8	Melanoma-associated antigen 9	MAGA9	P43362	MAGEA9
34777-36	Centromere protein S	CENPS	Q8N2Z9	CENPS
34778-40	Stathmin domain-containing protein 1	STMD1	H3BQB6	STMND1
34779-3	Protein TNT	TNT	Q7Z2V1	C16orf82
34780-49	SH2 domain-containing protein 4A	SH24A	Q9H788	SH2D4A
34781-97	Ankyrin repeat domain-containing protein 37	ANR37	Q7Z713	ANKRD37
34782-18	COX assembly mitochondrial protein 2 homolog	COXM2	Q9NRP2	CMC2
34783-1	Putative cTAGE family member 3	CTGE3	Q8IX95	CTAGE3P
34785-16	tRNA methyltransferase 10 homolog B	TM10B	Q6PF06	TRMT10B
34787-19	Ras association domain-containing protein 9	RASF9	O75901	RASSF9
34788-9	Putative methyltransferase C9orf114	CI114	Q5T280	SPOUT1
34789-193	Prostamide/prostaglandin F synthase	PXL2B	Q8TBF2	PRXL2B
3479-71	Trypsin-3	TRY3	P35030	PRSS3
34790-25	Protein CDV3 homolog	CDV3	Q9UKY7	CDV3
34793-27	tRNA methyltransferase 10 homolog A	TM10A	Q8TBZ6	TRMT10A
34794-17	Telomeric repeat-binding factor 2-interacting protein 1	TE2IP	Q9NYB0	TERF2IP
34795-69	Basic leucine zipper and W2 domain-containing protein 1	BZW1	Q7L1Q6	BZW1
34796-9	Protein BANP	BANP	Q8N9N5	BANP
34797-2	Histone H1.3	H13	P16402	H1-3
34798-5	SH2 domain-containing adapter protein F	SHF	Q7M4L6	SHF
34799-31	Uncharacterized protein C1orf21	CA021	Q9H246	C1orf21
3480-7	Dual specificity protein phosphatase 3	DUS3	P51452	DUSP3
34800-2	Putative elongation factor 1-alpha-like 3	EF1A3	Q5VTE0	EEF1A1P5
34801-16	Myogenic factor 6	MYF6	P23409	MYF6
34804-19	Putative uncharacterized protein CLLU1-AS1	CLU1O	Q5K130	CLLU1-AS1
34807-10	Protein FAM170B	F170B	A6NMN3	FAM170B
34808-22	Protein PRRC1	PRRC1	Q96M27	PRRC1
3481-87	Xaa-Pro aminopeptidase 1	XPNPEP1	Q9NQW7	XPNPEP1
34812-9	G patch domain-containing protein 11	GPT11	Q8N954	GPATCH11
34813-174	Hepatocyte nuclear factor 4-gamma	HNF4G	Q14541	HNF4G
34814-5	Uncharacterized protein CCDC197	CC197	Q8NCU1	CCDC197
34815-54	Cbp/p300-interacting transactivator 4	CITE4	Q96RK1	CITED4
34818-41	Ubiquitin thioesterase OTU1	OTU1	Q5VVQ6	YOD1
34819-148	Putative protein FAM10A5	F10A5	Q8NFI4	ST13P5
34820-40	Meiotic nuclear division protein 1 homolog	MND1	Q9BWT6	MND1
34822-52	Phosducin	PHOS	P20941	PDC
34824-18	Testis-expressed protein 12	TEX12	Q9BXU0	TEX12
34825-20	Putative KRAB domain-containing protein ZNF788	ZN788	Q6ZQV5	ZNF788P
34826-6	Caspase recruitment domain-containing protein 8	CARD8	Q9Y2G2	CARD8
34827-65	Protein FAM98C	FA98C	Q17RN3	FAM98C
34828-1	Histone H1.5	H15	P16401	H1-5
34829-11	EF-hand calcium-binding domain-containing protein 8	EFCB8	A8MWE9	EFCAB8
34830-47	Putative golgin subfamily A member 2B	GGA2B	Q9HBQ8	GOLGA2P5
34832-8	Putative ribosomal RNA-processing protein 7 homolog B	RRP7B	Q9NSQ0	RRP7BP
34833-22	Thioredoxin domain-containing protein 6	TXND6	Q86XW9	NME9
34835-13	Cytoplasmic dynein 2 light intermediate chain 1	DC2L1	Q8TCX1	DYNC2LI1
34836-20	Putative neuroblastoma breakpoint family member 5	NBPF5	Q86XG9	NBPF5P
34837-125	Coiled-coil domain-containing protein 83	CCD83	Q8IWF9	CCDC83
34838-49	Aflatoxin B1 aldehyde reductase member 4	ARK74	Q8NHP1	AKR7L
3484-60	Angiotensinogen	Angiotensinogen	P01019	AGT
34842-36	Rab-like protein 2B	RBL2B	Q9UNT1	RABL2B
34843-77	Phosphorylated adapter RNA export protein	PHAX	Q9H814	PHAX
34845-417	THUMP domain-containing protein 1	THUM1	Q9NXG2	THUMPD1
34849-69	60S ribosomal protein L31	RL31	P62899	RPL31
3485-28	Beta-2-microglobulin	b2-Microglobulin	P61769	B2M
34850-41	Testis-specific basic protein Y 1	VCY1	O14598	VCY
34851-1	G antigen family B member 1	GAGB1	O75459	PAGE1
34854-81	Putative zinc finger protein 861	ZN861	O60384	ZNF861P
34855-42	Armadillo repeat-containing X-linked protein 3	ARMX3	Q9UH62	ARMCX3
34856-10	Rab GTPase-activating protein 1-like, isoform 10	RBG10	B7ZAP0	RABGAP1L
3486-58	Fibroblast growth factor 1	b-ECGF	P05230	FGF1
34860-5	Putative PDZ domain-containing protein PDZK1P1	PDZ1P	A8MUH7	PDZK1P1
34861-4	EF-hand calcium-binding domain-containing protein 10	EFC10	A6NFE3	EFCAB10
34863-12	DnaJ homolog subfamily C member 24	DJC24	Q6P3W2	DNAJC24
34864-9	Protein FAM72A	FA72A	Q5TYM5	FAM72A
34865-37	60S ribosomal protein L22	RL22	P35268	RPL22
34866-33	ADP-ribosylation factor-like protein 13B	AR13B	Q3SXY8	ARL13B
34867-41	Keratin, type II cytoskeletal 80	K2C80	Q6KB66	KRT80
34868-13	Ribosomal RNA-processing protein 7 homolog A	RRP7A	Q9Y3A4	RRP7A
34869-43	Protein SETSIP	SETLP	P0DME0	SETSIP
3487-32	C-X-C motif chemokine 13	BLC	O43927	CXCL13
34870-15	Putative uncharacterized protein encoded by LINC00471	CB052	Q8N535	LINC00471
34871-43	Uncharacterized protein CXorf51B	CX05B	P0DPH9	CXorf51B
34873-11	Intraflagellar transport protein 46 homolog	IFT46	Q9NQC8	IFT46
34876-109	Putative oncomodulin-2	OCM2	P0CE71	OCM2
34877-85	ADP-ribosylation factor-like protein 16	ARL16	Q0P5N6	ARL16
34878-9	DPY30 domain-containing protein 2	DYDC2	Q96IM9	DYDC2
34879-1	Putative neuroblastoma breakpoint family member 7	NBPF7	P0C2Y1	NBPF7
3488-64	Catalase	Catalase	P04040	CAT
34880-67	Protein BEX3	BEX3	Q00994	BEX3
34882-7	Protein FAM25A	FM25A	B3EWG3	FAM25A
34884-13	Mitochondrial ribosome-associated GTPase 1	MTG1	Q9BT17	MTG1
34885-6	Putative protein KRIP1	KRIP1	Q107X0	KLKP1
34886-22	Coiled-coil domain-containing protein 192	CC192	P0DO97	CCDC192
34889-18	STE20-related kinase adapter protein alpha	STRAA	Q7RTN6	STRADA
3489-9	Ciliary neurotrophic factor	CNTF	P26441	CNTF
34890-2	Putative uncharacterized SMG1-like protein	SMG1L	Q6P435	
34891-29	MIP18 family protein FAM96A	FA96A	Q9H5X1	CIAO2A
34892-3	Bromodomain-containing protein 9	BRD9	Q9H8M2	BRD9
34894-13	Nucleoporin-62 C-terminal-like protein	N62CL	Q9H1M0	NUP62CL
34895-2	Coiled-coil domain-containing protein 181	CC181	Q5TID7	CCDC181
34896-8	Putative uncharacterized protein encoded by MAPKAPK5-AS1	MAAS1	Q8N8E1	MAPKAPK5-AS1
34897-76	Coiled-coil domain-containing protein 160	CC160	A6NGH7	CCDC160
34898-7	Elongation factor Ts, mitochondrial	EFTS	P43897	TSFM
34899-51	Protein FAM104A	F104A	Q969W3	FAM104A
34900-26	DNA polymerase subunit delta 3	POLD3	Q15054	POLD3
34902-8	G antigen 5	GAGE5	Q13069	GAGE5
34903-85	G antigen 6	GAGE6	Q13070	GAGE6
34908-20	Putative uncharacterized protein ENSP00000383407	YU005	A8MT66	
34909-40	Cancer/testis antigen family 45 member A6	CT456	P0DMU7	CT45A6
34913-2	POTE ankyrin domain family member B2	POTB2	H3BUK9	POTEB2
34916-6	Putative protein PTGES3L	PTG3L	E9PB15	PTGES3L
34917-117	A-kinase anchor protein 5	AKAP5	P24588	AKAP5
34919-42	Putative MORF4 family-associated protein 1-like protein UPP	MRUPP	B2RBV5	
34920-8	Golgin subfamily A member 7B	GOG7B	Q2TAP0	GOLGA7B
34922-224	Leucine rich adaptor protein 1	LURA1	Q96LR2	LURAP1
34923-29	Hydroxyacyl-thioester dehydratase type 2, mitochondrial	HTD2	P86397	HTD2
34924-23	Metaxin-3	MTX3	Q5HYI7	MTX3
34925-145	Protein FAM10A4	F10A4	Q8IZP2	ST13P4
34926-6	Putative uncharacterized protein FLJ45999	YL004	Q6ZRX8	
34928-54	Testis-specific gene 10 protein	TSG10	Q9BZW7	TSGA10
34929-5	Uncharacterized protein encoded by LINC02872	CI170	A2RU37	LINC02872
34931-128	Sperm protein associated with the nucleus on the X chromosome C	SPNXC	Q9NY87	SPANXC
34932-17	Protein PROCA1	PRCA1	Q8NCQ7	PROCA1
34933-28	CD2 antigen cytoplasmic tail-binding protein 2	CD2B2	O95400	CD2BP2
34935-22	Putative uncharacterized protein MGC13053	YK016	Q9BRP9	
34936-4	Centriole, cilia and spindle-associated protein	CCSAP	Q6IQ19	CCSAP
34938-104	Putative uncharacterized protein DNAJC9-AS1	DAS1	A6NH13	DNAJC9-AS1
3494-71	Fibroblast growth factor 17	FGF-17	O60258	FGF17
34943-41	Putative endoplasmin-like protein	ENPLL	Q58FF3	HSP90B2P
34944-25	Myozenin-3	MYOZ3	Q8TDC0	MYOZ3
34945-1	Telomerase RNA component interacting RNase	TRIR	Q9BQ61	TRIR
34946-2	Gamma-taxilin	TXLNG	Q9NUQ3	TXLNG
34947-80	Transmembrane protein 55B	TM55B	Q86T03	PIP4P1
34948-6	Phosphatidylethanolamine-binding protein 4	PEBP4	Q96S96	PEBP4
34949-35	Spermatogenesis-associated protein 3	SPTA3	Q8NHX4	SPATA3
3495-15	C-X-C motif chemokine 6	GCP-2	P80162	CXCL6
34952-13	40S ribosomal protein S18	RS18	P62269	RPS18
34953-22	Atlastin-2	ATLA2	Q8NHH9	ATL2
34954-25	SLIT-ROBO Rho GTPase-activating protein 2B	SRG2B	P0DMP2	SRGAP2B
34956-11	Actin-related protein 2/3 complex subunit 5-like protein	ARP5L	Q9BPX5	ARPC5L
34957-35	Putative nuclear receptor corepressor 1-like protein NCOR1P1	CT191	Q9H4R4	NCOR1P1
34959-8	Putative golgin subfamily A member 6-like protein 3	GG6L3	A6NEY3	GOLGA6L3 | GOLGA6L3P
34961-4	Probable RNA polymerase II nuclear localization protein SLC7A6OS	S7A6O	Q96CW6	SLC7A6OS
34962-18	Rho-related GTP-binding protein RhoU	RHOU	Q7L0Q8	RHOU
34963-8	Exosome complex component RRP45	EXOS9	Q06265	EXOSC9
34966-35	Uncharacterized protein encoded by LINC02881	CJ142	B7Z368	LINC02881
34969-227	Proline-rich protein 23C	PR23C	Q6ZRP0	PRR23C
3497-13	Interferon alpha-2	IFN-aA	P01563	IFNA2
34970-50	Upstream-binding factor 1-like protein 1	UBFL1	P0CB47	UBTFL1
34973-47	EEF1A lysine methyltransferase 2	EFMT2	Q5JPI9	EEF1AKMT2
34975-22	Retinal homeobox protein Rx	RX	Q9Y2V3	RAX
34976-65	G-rich sequence factor 1	GRSF1	Q12849	GRSF1
34977-4	M-phase phosphoprotein 6	MPH6	Q99547	MPHOSPH6
34978-78	Ankyrin repeat and SOCS box protein 15	ASB15	Q8WXK1	ASB15
3498-53	Interleukin-17A	IL-17	Q16552	IL17A
34980-29	Nascent polypeptide-associated complex subunit alpha-2	NACA2	Q9H009	NACA2
34981-15	Wee1-like protein kinase	WEE1	P30291	WEE1
34982-184	Cancer/testis antigen family 45 member A8	CT458	P0DMV1	CT45A8
34986-30	Protein CASC10	CSC10	Q5T4H9	MIR1915HG
34987-5	Clavesin-2	CLVS2	Q5SYC1	CLVS2
34988-4	Protein lin-37 homolog	LIN37	Q96GY3	LIN37
3499-77	Interleukin-17B	IL-17B	Q9UHF5	IL17B
34991-25	Stimulated by retinoic acid gene 8 protein homolog	STRA8	Q7Z7C7	STRA8
34999-6	Actin-related protein 10	ARP10	Q9NZ32	ACTR10
35001-10	Putative UPF0607 protein LOC392364	YI024	Q5PR19	
35003-15	Testis-expressed protein 9	TEX9	Q8N6V9	TEX9
35005-16	Putative uncharacterized protein FLJ45275, mitochondrial	YO027	Q6ZSR3	
35007-14	Protein GVQW3	GVQW3	Q3ZCU0	GVQW3
35008-195	Protein RD3-like	RD3L	P0DJH9	RD3L
35010-3	Putative uncharacterized protein LOC151760	YC018	Q1RN00	
35011-25	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1	Q9H063	MAF1
35016-1	Biorientation of chromosomes in cell division protein 1-like 2	BD1L2	Q8IYS8	BOD1L2
35017-13	Securin-3	PTTG3	Q9NZH4	PTTG3P
35019-36	Iodotyrosine deiodinase 1	IYD1	Q6PHW0	IYD
35024-48	Transcription factor AP-2 alpha	AP2A	P05549	TFAP2A
35029-25	Inhibitory synaptic factor 1	INSY1	Q2T9L4	INSYN1
3503-4	Integrin alpha-I: beta-1 complex	Integrin a1b1	P05556 | P56199	ITGB1 | ITGA1
35030-11	Putative uncharacterized protein PSMG3-AS1	K1908	Q96PY0	PSMG3-AS1
35032-4	Putative uncharacterized protein encoded by LINC00167	CK037	Q96N53	PRDM10-DT
35034-72	Proline-rich protein 18	PRR18	Q8N4B5	PRR18
35035-7	DNL-type zinc finger protein	DNLZ	Q5SXM8	DNLZ
35038-35	Janus kinase and microtubule-interacting protein 1	JKIP1	Q96N16	JAKMIP1
35039-32	THAP domain-containing protein 3	THAP3	Q8WTV1	THAP3
3504-58	Hepcidin	LEAP-1	P81172	HAMP
35041-3	Sperm protein associated with the nucleus on the X chromosome N2	SPXN2	Q5MJ10	SPANXN2
35042-13	Putative uncharacterized protein LOC388882	YV020	Q8N402	
35044-15	Putative coiled-coil domain-containing protein 144B	C144B	Q3MJ40	CCDC144BP
35046-23	Glucocorticoid-induced transcript 1 protein	GLCI1	Q86VQ1	GLCCI1
35047-43	ARL14 effector protein-like	A14EL	P0DKL9	ARL14EPL
35048-6	Zinc finger protein 711	ZN711	Q9Y462	ZNF711
3505-6	Lymphotoxin alpha1:beta2	Lymphotoxin a1/b2	P01374 | Q06643	LTA | LTB
35052-19	MTRF1L release factor glutamine methyltransferase	HEMK1	Q9Y5R4	HEMK1
35053-2	Uncharacterized protein C11orf52	CK052	Q96A22	C11orf52
35054-206	Putative uncharacterized protein NEXN-AS1	NEAS1	Q8NBZ9	NEXN-AS1
35055-12	Nuclear pore complex-interacting protein family member A8	NPIA8	P0DM63	NPIPA8
35057-48	Homeobox protein BarH-like 2	BARX2	Q9UMQ3	BARX2
35058-157	G protein-regulated inducer of neurite outgrowth 3	GRIN3	Q6ZVF9	GPRIN3
3506-49	Lymphotoxin alpha2:beta1	Lymphotoxin a2/b1	Q06643 | P01374	LTB | LTA
35062-64	N-alpha-acetyltransferase 38, NatC auxiliary subunit	LSMD1	Q9BRA0	NAA38
35063-7	Uncharacterized protein C22orf42	CV042	Q6IC83	C22orf42
35064-19	Coiled-coil domain-containing protein 183	CC183	Q5T5S1	CCDC183
35065-7	Protein INSYN2B	INY2B	A6NMK8	INSYN2B
35066-40	CBP80/20-dependent translation initiation factor	CTIF	O43310	CTIF
35068-1	Cancer/testis antigen family 45 member A10	CT45A	P0DMU9	CT45A10
35070-110	RNA-binding protein MEX3B	MEX3B	Q6ZN04	MEX3B
35071-4	E2F-associated phosphoprotein	EAPP	Q56P03	EAPP
35073-24	Coiled-coil domain-containing protein 152	CC152	Q4G0S7	CCDC152
35074-6	Putative protein FRMPD2-like	FRP2L	Q6IN97	FRMPD2B
35075-30	Receptor-interacting serine/threonine-protein kinase 4	RIPK4	P57078	RIPK4
35077-1	Putative uncharacterized protein C8orf89	CH089	P0DMQ9	C8orf89
35078-16	Putative ankyrin repeat domain-containing protein 30B-like	A30BL	A7E2S9	ANKRD30BL
35079-2	Myosin regulatory light chain 10	MYL10	Q9BUA6	MYL10
3508-78	C-C motif chemokine 22	MDC	O00626	CCL22
35080-5	INO80 complex subunit B	IN80B	Q9C086	INO80B
35081-43	U3 small nucleolar ribonucleoprotein protein MPP10	MPP10	O00566	MPHOSPH10
35085-52	Annexin A8-like protein 2	AXA82	Q5VT79	ANXA8L1
35087-7	Putative uncharacterized protein COL25A1-DT	COLDT	Q6ZST2	COL25A1-DT
35088-19	Putative ankyrin repeat domain-containing protein 20A4	A20A4	Q4UJ75	ANKRD20A4P
35089-40	Putative POM121-like protein 1	P12L1	Q3SYA9	POM121L1P
3509-1	C-C motif chemokine 15	MIP-5	Q16663	CCL15
35090-122	GAS2-like protein 3	GA2L3	Q86XJ1	GAS2L3
35091-163	SH3 and cysteine-rich domain-containing protein 3	STAC3	Q96MF2	STAC3
35092-19	Putative golgin subfamily A member 8I	GOG8I	A6NC78	GOLGA8IP
35094-53	Fatty acid-binding protein, epidermal	FABPE	Q01469	FABP5
35095-42	Kallikrein-6	Kallikrein 6	Q92876	KLK6
35098-22	Stanniocalcin-2	STC2	O76061	STC2
35100-13	Chymotrypsin-C	CTRC	Q99895	CTRC
35103-12	Integrin beta-6	ITB6	P18564	ITGB6
35107-16	TRAF family member-associated NF-kappa-B activator	TANK	Q92844	TANK
35109-11	Coiled-coil domain-containing protein 12	CCD12	Q8WUD4	CCDC12
35110-11	Protein SSX7	SSX7	Q7RTT5	SSX7
35111-2	Uncharacterized protein C6orf62	CF062	Q9GZU0	C6orf62
35113-19	BLOC-1-related complex subunit 6	BORC6	Q96GS4	BORCS6
35114-275	AP-3 complex subunit mu-1	AP3M1	Q9Y2T2	AP3M1
35117-3	Keratin, type I cytoskeletal 15	K1C15	P19012	KRT15
35118-28	Tyrosine-protein phosphatase non-receptor type 22	PTN22	Q9Y2R2	PTPN22
35119-5	Protocadherin beta-8	PCDB8	Q9UN66	PCDHB8
35121-1	Dynein heavy chain 11, axonemal	DYH11	Q96DT5	DNAH11
35122-17	Peroxisome biogenesis factor 1	PEX1	O43933	PEX1
35124-84	Coiled-coil domain-containing protein 30	CCD30	Q5VVM6	CCDC30
35131-74	Threonine--tRNA ligase, mitochondrial	SYTM	Q9BW92	TARS2
35134-32	Nodal modulator 1	NOMO1	Q15155	NOMO1
35135-22	Cathepsin W	CATW	P56202	CTSW
35136-36	Fibrillin-3	FBN3	Q75N90	FBN3
35137-67	Casein kinase I isoform alpha	KC1A	P48729	CSNK1A1
3514-49	Myeloblastin	Proteinase-3	P24158	PRTN3
35140-67	Multimerin-1	MMRN1	Q13201	MMRN1
35143-34	MAGUK p55 subfamily member 3	MPP3	Q13368	MPP3
35145-161	Kinesin heavy chain isoform 5A	KIF5A	Q12840	KIF5A
35152-10	Sodium-dependent phosphate transporter 1	S20A1	Q8WUM9	SLC20A1
35154-50	Inactive phospholipase C-like protein 1	PLCL1	Q15111	PLCL1
35157-27	Probable RNA-binding protein 20	RBM20	Q5T481	RBM20
3516-60	Stromal cell-derived factor 1	SDF-1	P48061	CXCL12
35160-58	POTE ankyrin domain family member J	POTEJ	P0CG39	POTEJ
35162-19	Centriolin	CNTRL	Q7Z7A1	CNTRL
35163-7	Nuclear pore complex protein Nup88	NUP88	Q99567	NUP88
