"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"12616-45_3"	""	"NRBP"	"Nuclear receptor-binding protein"	"2"	"27650657"	"27665126"	"NRBP1"	"ENSG00000115216"	"Q9UHY1"	""	""	""	""	""	""	""	"May play a role in subcellular trafficking between the endoplasmic reticulum and Golgi apparatus through interactions with the Rho-type GTPases. Binding to the NS3 protein of dengue virus type 2 appears to subvert this activity into the alteration of the intracellular membrane structure associated with flaviviral replication."	""	"FALSE"
"12618-50_3"	""	"Aldo-keto reductase 1C1"	"Aldo-keto reductase family 1 member C1"	"10"	"5005445"	"5149714"	"AKR1C1"	"ENSG00000187134"	"Q04828"	""	""	""	""	""	""	""	"Converts progesterone to its inactive form, 20-alpha-dihydroxyprogesterone (20-alpha-OHP). In the liver and intestine, may have a role in the transport of bile. May have a role in monitoring the intrahepatic bile acid concentration. Has a low bile-binding ability. May play a role in myelin formation."	""	"FALSE"
"12630-8_3"	""	"ARFP2"	"Arfaptin-2"	"11"	"6495913"	"6502709"	"ARFIP2"	"ENSG00000132254"	"P53365"	""	""	""	""	""	""	""	"Putative target protein of ADP-ribosylation factor. Involved in membrane ruffling."	""	"FALSE"
"12632-14_3"	""	"ARY1"	"Arylamine N-acetyltransferase 1"	"8"	"18027986"	"18081198"	"NAT1"	"ENSG00000171428"	"P18440"	""	""	""	""	""	""	""	"Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivate several known carcinogens."	""	"FALSE"
"12633-3_3"	""	"PTN9"	"Tyrosine-protein phosphatase non-receptor type 9"	"15"	"75755592"	"75871630"	"PTPN9"	"ENSG00000169410"	"P43378"	""	""	""	""	""	""	""	"Protein-tyrosine phosphatase that could participate in the transfer of hydrophobic ligands or in functions of the Golgi apparatus."	""	"FALSE"
"12634-79_3"	""	"BCAR3"	"Breast cancer anti-estrogen resistance protein 3"	"1"	"94027343"	"94312706"	"BCAR3"	"ENSG00000137936"	"O75815"	""	""	""	""	""	""	""	"May act as an adapter protein and couple activated growth factor receptors to a signaling pathway that regulates the proliferation in breast cancer cells. When overexpressed, it confers anti-estrogen resistance in breast cancer cell lines. May also be regulated by cellular adhesion to extracellular matrix proteins."	""	"FALSE"
"12643-4_3"	""	"ARRB1"	"Beta-arrestin-1"	"11"	"74975226"	"75062749"	"ARRB1"	"ENSG00000137486"	"P49407"	""	""	""	""	""	""	""	"Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes. During homologous desensitization, beta-arrestins bind to the GPRK-phosphorylated receptor and sterically preclude its coupling to the cognate G-protein; the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin-associated sorting proteins) and recruiting the GPRCs to the adapter protein 2 complex 2 (AP-2) in clathrin-coated pits (CCPs). However, the extent of beta-arrestin involvement appears to vary significantly depending on the receptor, agonist and cell type. Internalized arrestin-receptor complexes traffic to intracellular endosomes, where they remain uncoupled from G-proteins. Two different modes of arrestin-mediated internalization occur. Class A receptors, like ADRB2, OPRM1, ENDRA, D1AR and ADRA1B dissociate from beta-arrestin at or near the plasma membrane and undergo rapid recycling. Class B receptors, like AVPR2, AGTR1, NTSR1, TRHR and TACR1 internalize as a complex with arrestin and traffic with it to endosomal vesicles, presumably as desensitized receptors, for extended periods of time. Receptor resensitization then requires that receptor-bound arrestin is removed so that the receptor can be dephosphorylated and returned to the plasma membrane. Involved in internalization of P2RY4 and UTP-stimulated internalization of P2RY2. Involved in phosphorylation-dependent internalization of OPRD1 ands subsequent recycling. Involved in the degradation of cAMP by recruiting cAMP phosphodiesterases to ligand-activated receptors. Beta-arrestins function as multivalent adapter proteins that can switch the GPCR from a G-protein signaling mode that transmits short-lived signals from the plasma membrane via small molecule second messengers and ion channels to a beta-arrestin signaling mode that transmits a distinct set of signals that are initiated as the receptor internalizes and transits the intracellular compartment. Acts as signaling scaffold for MAPK pathways such as MAPK1/3 (ERK1/2). ERK1/2 activated by the beta-arrestin scaffold is largely excluded from the nucleus and confined to cytoplasmic locations such as endocytic vesicles, also called beta-arrestin signalosomes. Recruits c-Src/SRC to ADRB2 resulting in ERK activation. GPCRs for which the beta-arrestin-mediated signaling relies on both ARRB1 and ARRB2 (codependent regulation) include ADRB2, F2RL1 and PTH1R. For some GPCRs the beta-arrestin-mediated signaling relies on either ARRB1 or ARRB2 and is inhibited by the other respective beta-arrestin form (reciprocal regulation). Inhibits ERK1/2 signaling in AGTR1- and AVPR2-mediated activation (reciprocal regulation). Is required for SP-stimulated endocytosis of NK1R and recruits c-Src/SRC to internalized NK1R resulting in ERK1/2 activation, which is required for the antiapoptotic effects of SP. Is involved in proteinase-activated F2RL1-mediated ERK activity. Acts as signaling scaffold for the AKT1 pathway. Is involved in alpha-thrombin-stimulated AKT1 signaling. Is involved in IGF1-stimulated AKT1 signaling leading to increased protection from apoptosis. Involved in activation of the p38 MAPK signaling pathway and in actin bundle formation. Involved in F2RL1-mediated cytoskeletal rearrangement and chemotaxis. Involved in AGTR1-mediated stress fiber formation by acting together with GNAQ to activate RHOA. Appears to function as signaling scaffold involved in regulation of MIP-1-beta-stimulated CCR5-dependent chemotaxis. Involved in attenuation of NF-kappa-B-dependent transcription in response to GPCR or cytokine stimulation by interacting with and stabilizing CHUK. May serve as nuclear messenger for GPCRs. Involved in OPRD1-stimulated transcriptional regulation by translocating to CDKN1B and FOS promoter regions and recruiting EP300 resulting in acetylation of histone H4. Involved in regulation of LEF1 transcriptional activity via interaction with DVL1 and/or DVL2 Also involved in regulation of receptors other than GPCRs. Involved in Toll-like receptor and IL-1 receptor signaling through the interaction with TRAF6 which prevents TRAF6 autoubiquitination and oligomerization required for activation of NF-kappa-B and JUN. Binds phosphoinositides. Binds inositolhexakisphosphate (InsP6) (By similarity). Involved in IL8-mediated granule release in neutrophils. Required for atypical chemokine receptor ACKR2-induced RAC1-LIMK1-PAK1-dependent phosphorylation of cofilin (CFL1) and for the up-regulation of ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation. Involved in the internalization of the atypical chemokine receptor ACKR3. Negatively regulates the NOTCH signaling pathway by mediating the ubiquitination and degradation of NOTCH1 by ITCH. Participates to the recruitment of the ubiquitin-protein ligase to the receptor (PubMed:23886940)."	""	"FALSE"
"12644-63_3"	""	"PURA2"	"Adenylosuccinate synthetase isozyme 2"	"1"	"244571796"	"244615436"	"ADSS"	"ENSG00000035687"	"P30520"	""	""	""	""	""	""	""	"Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP."	""	"FALSE"
"12646-2_3"	""	"RPE"	"Ribulose-phosphate 3-epimerase"	"2"	"210867289"	"210886983"	"RPE"	"ENSG00000197713"	"Q96AT9"	""	""	""	""	""	""	""	"Catalyzes the reversible epimerization of D-ribulose 5-phosphate to D-xylulose 5-phosphate."	""	"FALSE"
"12650-43_3"	""	"GNAI3"	"Guanine nucleotide-binding protein G(k) subunit alpha"	"1"	"110091233"	"110160943"	"GNAI3"	"ENSG00000065135"	"P08754"	""	""	""	""	""	""	""	"Heterotrimeric guanine nucleotide-binding proteins (G proteins) function as transducers downstream of G protein-coupled receptors (GPCRs) in numerous signaling cascades. The alpha chain contains the guanine nucleotide binding site and alternates between an active, GTP-bound state and an inactive, GDP-bound state. Signaling by an activated GPCR promotes GDP release and GTP binding. The alpha subunit has a low GTPase activity that converts bound GTP to GDP, thereby terminating the signal. Both GDP release and GTP hydrolysis are modulated by numerous regulatory proteins (PubMed:8774883, PubMed:18434541, PubMed:19478087). Signaling is mediated via effector proteins, such as adenylate cyclase. Inhibits adenylate cyclase activity, leading to decreased intracellular cAMP levels (PubMed:19478087). Stimulates the activity of receptor-regulated K(+) channels (PubMed:2535845). The active GTP-bound form prevents the association of RGS14 with centrosomes and is required for the translocation of RGS14 from the cytoplasm to the plasma membrane. May play a role in cell division (PubMed:17635935)."	""	"FALSE"
"12653-13_3"	""	"CSNK1G2"	"Casein kinase I isoform gamma-2"	"19"	"1941148"	"1981337"	"CSNK1G2"	"ENSG00000133275"	"P78368"	""	""	""	""	""	""	""	"Serine/threonine-protein kinase. Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. It can phosphorylate a large number of proteins. Participates in Wnt signaling. Phosphorylates COL4A3BP/CERT, MTA1 and SMAD3. Involved in brain development and vesicular trafficking and neurotransmitter releasing from small synaptic vesicles. Regulates fast synaptic transmission mediated by glutamate. SMAD3 phosphorylation promotes its ligand-dependent ubiquitination and subsequent proteasome degradation, thus inhibiting SMAD3-mediated TGF-beta responses. Hyperphosphorylation of the serine-repeat motif of COL4A3BP/CERT leads to its inactivation by dissociation from the Golgi complex, thus down-regulating ER-to-Golgi transport of ceramide and sphingomyelin synthesis. Triggers PER1 proteasomal degradation probably through phosphorylation."	""	"FALSE"
"12655-30_3"	""	"SNAB"	"Beta-soluble NSF attachment protein"	"20"	"23355156"	"23402156"	"NAPB"	"ENSG00000125814"	"Q9H115"	""	""	""	""	""	""	""	"Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus."	""	"FALSE"
"12659-13_3"	""	"GTPB9"	"Obg-like ATPase 1"	"2"	"174937175"	"175113426"	"OLA1"	"ENSG00000138430"	"Q9NTK5"	""	""	""	""	""	""	""	"Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP."	""	"FALSE"
"12661-44_3"	""	"GBRL1"	"Gamma-aminobutyric acid receptor-associated protein-like 1"	"12"	"10365057"	"10375729"	"GABARAPL1"	"ENSG00000139112"	"Q9H0R8"	""	""	""	""	""	""	""	"Ubiquitin-like modifier that increases cell-surface expression of kappa-type opioid receptor through facilitating anterograde intracellular trafficking of the receptor. Involved in formation of autophagosomal vacuoles. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation."	""	"FALSE"
"12663-1_3"	""	"THTR"	"Thiosulfate sulfurtransferase"	"22"	"37406900"	"37416224"	"TST"	"ENSG00000128311"	"Q16762"	""	""	""	""	""	""	""	"Formation of iron-sulfur complexes, cyanide detoxification or modification of sulfur-containing enzymes. Other thiol compounds, besides cyanide, can act as sulfur ion acceptors. Also has weak mercaptopyruvate sulfurtransferase (MST) activity (By similarity). Together with MRPL18, acts as a mitochondrial import factor for the cytosolic 5S rRNA. Only the nascent unfolded cytoplasmic form is able to bind to the 5S rRNA."	""	"FALSE"
"12668-7_3"	""	"VPS4B"	"Vacuolar protein sorting-associated protein 4B"	"18"	"61056423"	"61089716"	"VPS4B"	"ENSG00000119541"	"O75351"	""	""	""	""	""	""	""	"Involved in late steps of the endosomal multivesicular bodies (MVB) pathway. Recognizes membrane-associated ESCRT-III assemblies and catalyzes their disassembly, possibly in combination with membrane fission. Redistributes the ESCRT-III components to the cytoplasm for further rounds of MVB sorting. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. In conjunction with the ESCRT machinery also appears to function in topologically equivalent membrane fission events, such as the terminal stages of cytokinesis and enveloped virus budding (HIV-1 and other lentiviruses). VPS4A/B are required for the exosomal release of SDCBP, CD63 and syndecan (PubMed:22660413)."	""	"FALSE"
"12678-66_3"	""	"SNRPA"	"U1 small nuclear ribonucleoprotein A"	"19"	"41256542"	"41271294"	"SNRPA"	"ENSG00000077312"	"P09012"	""	""	""	""	""	""	""	"Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1 snRNP is the first snRNP to interact with pre-mRNA. This interaction is required for the subsequent binding of U2 snRNP and the U4/U6/U5 tri-snRNP. SNRPA binds stem loop II of U1 snRNA. In a snRNP-free form (SF-A) may be involved in coupled pre-mRNA splicing and polyadenylation process. May bind preferentially to the 5'-UGCAC-3' motif on RNAs."	""	"FALSE"
"12681-63_3"	""	"UBP21"	"Ubiquitin carboxyl-terminal hydrolase 21"	"1"	"161129240"	"161135513"	"USP21"	"ENSG00000143258"	"Q9UK80"	""	""	""	""	""	""	""	"Deubiquitinates histone H2A, a specific tag for epigenetic transcriptional repression, thereby acting as a coactivator. Deubiquitination of histone H2A releaves the repression of di- and trimethylation of histone H3 at 'Lys-4', resulting in regulation of transcriptional initiation. Regulates gene expression via histone H2A deubiquitination (By similarity). Also capable of removing NEDD8 from NEDD8 conjugates but has no effect on Sentrin-1 conjugates (PubMed:10799498). Deubiquitinates BAZ2A/TIP5 leading to its stabilization (PubMed:26100909)."	""	"FALSE"
"12682-5_3"	""	"KAT3"	"Kynurenine--oxoglutarate transaminase 3"	"1"	"89401456"	"89458636"	"CCBL2"	"ENSG00000137944"	"Q6YP21"	""	""	""	""	""	""	""	"Catalyzes the irreversible transamination of the L-tryptophan metabolite L-kynurenine to form kynurenic acid (KA). May catalyze the beta-elimination of S-conjugates and Se-conjugates of L-(seleno)cysteine, resulting in the cleavage of the C-S or C-Se bond (By similarity). Has transaminase activity towards L-kynurenine, tryptophan, phenylalanine, serine, cysteine, methionine, histidine, glutamine and asparagine with glyoxylate as an amino group acceptor (in vitro). Has lower activity with 2-oxoglutarate as amino group acceptor (in vitro) (By similarity)."	""	"FALSE"
"12684-5_3"	""	"ADSV"	"Adseverin"	"7"	"12610203"	"12699804"	"SCIN"	"ENSG00000006747"	"Q9Y6U3"	""	""	""	""	""	""	""	"Ca(2+)-dependent actin filament-severing protein that has a regulatory function in exocytosis by affecting the organization of the microfilament network underneath the plasma membrane (PubMed:8547642, PubMed:26365202). Severing activity is inhibited by phosphatidylinositol 4,5-bis-phosphate (PIP2) (By similarity). In vitro, also has barbed end capping and nucleating activities in the presence of Ca(2+). Required for megakaryocyte differentiation, maturation, polyploidization and apoptosis with the release of platelet-like particles (PubMed:11568009). Plays a role in osteoclastogenesis (OCG) and actin cytoskeletal organization in osteoclasts (By similarity). Regulates chondrocyte proliferation and differentiation (By similarity). Inhibits cell proliferation and tumorigenesis. Signaling is mediated by MAPK, p38 and JNK pathways (PubMed:11568009)."	""	"FALSE"
"12688-115_3"	""	"KS6A6"	"Ribosomal protein S6 kinase alpha-6"	"X"	"83313354"	"83442915"	"RPS6KA6"	"ENSG00000072133"	"Q9UK32"	""	""	""	""	""	""	""	"Constitutively active serine/threonine-protein kinase that exhibits growth-factor-independent kinase activity and that may participate in p53/TP53-dependent cell growth arrest signaling and play an inhibitory role during embryogenesis."	""	"FALSE"
"12690-33_3"	""	"SEPT10"	"Septin-10"	"2"	"110300559"	"110371783"	"SEPT10"	"ENSG00000186522"	"Q9P0V9"	""	""	""	""	""	""	""	"Filament-forming cytoskeletal GTPase. May play a role in cytokinesis (Potential)."	""	"FALSE"
"12694-28_3"	""	"DIM1"	"Probable dimethyladenosine transferase"	"5"	"61683081"	"61699766"	"DIMT1"	"ENSG00000086189"	"Q9UNQ2"	""	""	""	""	""	""	""	"Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'-end of 18S rRNA in the 40S particle (PubMed:25851604). Involved in the pre-rRNA processing steps leading to small-subunit rRNA production independently of its RNA-modifying catalytic activity (PubMed:25851604)."	""	"FALSE"
"12706-2_3"	""	"MRCKA"	"Serine/threonine-protein kinase MRCK alpha"	"1"	"227177566"	"227506175"	"CDC42BPA"	"ENSG00000143776"	"Q5VT25"	""	""	""	""	""	""	""	"Serine/threonine-protein kinase which is an important downstream effector of CDC42 and plays a role in the regulation of cytoskeleton reorganization and cell migration (PubMed:15723050, PubMed:9418861, PubMed:9092543). Regulates actin cytoskeletal reorganization via phosphorylation of PPP1R12C and MYL9/MLC2 (PubMed:21457715). In concert with MYO18A and LURAP1, is involved in modulating lamellar actomyosin retrograde flow that is crucial to cell protrusion and migration (PubMed:18854160). Phosphorylates: PPP1R12A, LIMK1 and LIMK2 (PubMed:11340065, PubMed:11399775). May play a role in TFRC-mediated iron uptake (PubMed:20188707). In concert with FAM89B/LRAP25 mediates the targeting of LIMK1 to the lamellipodium resulting in its activation and subsequent phosphorylation of CFL1 which is important for lamellipodial F-actin regulation (By similarity)."	""	"FALSE"
"12709-63_3"	""	"H1X"	"Histone H1x"	"3"	"129033614"	"129035120"	"H1FX"	"ENSG00000184897"	"Q92522"	""	""	""	""	""	""	""	"Histones H1 are necessary for the condensation of nucleosome chains into higher-order structures."	""	"FALSE"
"12713-365_3"	""	"RGS19"	"Regulator of G-protein signaling 19"	"20"	"62704534"	"62711341"	"RGS19"	"ENSG00000171700"	"P49795"	""	""	""	""	""	""	""	"Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Binds to G-alpha subfamily 1 members, with the order G(i)a3 > G(i)a1 > G(o)a >> G(z)a/G(i)a2. Activity on G(z)-alpha is inhibited by phosphorylation and palmitoylation of the G-protein."	""	"FALSE"
"12716-3_3"	""	"ZN175"	"Zinc finger protein 175"	"19"	"52074551"	"52095761"	"ZNF175"	"ENSG00000105497"	"Q9Y473"	""	""	""	""	""	""	""	"Down-regulates the expression of several chemokine receptors. Interferes with HIV-1 replication by suppressing Tat-induced viral LTR promoter activity."	""	"FALSE"
"12718-43_3"	""	"PIN4"	"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4"	"X"	"71401203"	"71522776"	"PIN4"	"ENSG00000102309"	"Q9Y237"	""	""	""	""	""	""	""	"Isoform 1 is involved as a ribosomal RNA processing factor in ribosome biogenesis. Binds to tightly bent AT-rich stretches of double-stranded DNA."	""	"FALSE"
"12720-71_3"	""	"UBQL4"	"Ubiquilin-4"	"1"	"156005092"	"156023585"	"UBQLN4"	"ENSG00000160803"	"Q9NRR5"	""	""	""	""	""	""	""	"Plays a role in the regulation of protein degradation via the ubiquitin-proteasome system (UPS). Mediates the proteasomal targeting of misfolded or accumulated proteins for degradation by binding (via UBA domain) to their polyubiquitin chains and by interacting (via ubiquitin-like domain) with the subunits of the proteasome (Ref. 6). Plays a role in the regulation of the proteasomal degradation of non-ubiquitinated GJA1 (By similarity). Acts as an adapter protein that recruits UBQLN1 to the autophagy machinery. Mediates the association of UBQLN1 with autophagosomes and the autophagy-related protein LC3 (MAP1LC3A/B/C) and may assist in the maturation of autophagosomes to autolysosomes by mediating autophagosome-lysosome fusion (PubMed:23459205)."	""	"FALSE"
"12724-81_3"	""	"CIRBP"	"Cold-inducible RNA-binding protein"	"19"	"1259383"	"1274879"	"CIRBP"	"ENSG00000099622"	"Q14011"	""	""	""	""	""	""	""	"Cold-inducible mRNA binding protein that plays a protective role in the genotoxic stress response by stabilizing transcripts of genes involved in cell survival. Acts as a translational activator. Seems to play an essential role in cold-induced suppression of cell proliferation. Binds specifically to the 3'-untranslated regions (3'-UTRs) of stress-responsive transcripts RPA2 and TXN. Acts as a translational repressor (By similarity). Promotes assembly of stress granules (SGs), when overexpressed."	""	"FALSE"
"12726-3_3"	""	"RFXAP"	"Regulatory factor X-associated protein"	"13"	"37393361"	"37403241"	"RFXAP"	"ENSG00000133111"	"O00287"	""	""	""	""	""	""	""	"Part of the RFX complex that binds to the X-box of MHC II promoters."	""	"FALSE"
"12727-7_3"	""	"FPRP"	"Prostaglandin F2 receptor negative regulator"	"1"	"117452679"	"117532980"	"PTGFRN"	"ENSG00000134247"	"Q9P2B2"	""	""	""	""	""	""	""	"Inhibits the binding of prostaglandin F2-alpha (PGF2-alpha) to its specific FP receptor, by decreasing the receptor number rather than the affinity constant. Functional coupling with the prostaglandin F2-alpha receptor seems to occur (By similarity)."	""	"FALSE"
"12730-3_3"	""	"KNTC2"	"Kinetochore protein NDC80 homolog"	"18"	"2571510"	"2616634"	"NDC80"	"ENSG00000080986"	"O14777"	""	""	""	""	""	""	""	"Acts as a component of the essential kinetochore-associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity (PubMed:9315664, PubMed:12351790, PubMed:14654001, PubMed:14699129, PubMed:15062103, PubMed:15235793, PubMed:15239953, PubMed:15548592, PubMed:16732327). Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore (PubMed:15548592). The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules (PubMed:23085020). Plays a role in chromosome congression and is essential for the end-on attachment of the kinetochores to spindle microtubules (PubMed:25743205, PubMed:23891108)."	""	"FALSE"
"12731-12_3"	""	"PKHA7"	"Pleckstrin homology domain-containing family A member 7"	"11"	"16799842"	"17035990"	"PLEKHA7"	"ENSG00000166689"	"Q6IQ23"	""	""	""	""	""	""	""	"Required for zonula adherens biogenesis and maintenance. Acts via its interaction with KIAA1543/Nezha, which anchors microtubules at their minus-ends to zonula adherens, leading to the recruitment of KIFC3 kinesin to the junctional site."	""	"FALSE"
"12738-43_3"	""	"NISCH"	"Nischarin"	"3"	"52489134"	"52527087"	"NISCH"	"ENSG00000010322"	"Q9Y2I1"	""	""	""	""	""	""	""	"Acts either as the functional imidazoline-1 receptor (I1R) candidate or as a membrane-associated mediator of the I1R signaling. Binds numerous imidazoline ligands that induces initiation of cell-signaling cascades triggering to cell survival, growth and migration. Its activation by the agonist rilmenidine induces an increase in phosphorylation of mitogen-activated protein kinases MAPK1 and MAPK3 in rostral ventrolateral medulla (RVLM) neurons that exhibited rilmenidine-evoked hypotension (By similarity). Blocking its activation with efaroxan abolished rilmenidine-induced mitogen-activated protein kinase phosphorylation in RVLM neurons (By similarity). Acts as a modulator of Rac-regulated signal transduction pathways (By similarity). Suppresses Rac1-stimulated cell migration by interacting with PAK1 and inhibiting its kinase activity (By similarity). Also blocks Pak-independent Rac signaling by interacting with RAC1 and inhibiting Rac1-stimulated NF-kB response element and cyclin D1 promoter activation (By similarity). Inhibits also LIMK1 kinase activity by reducing LIMK1 'Tyr-508' phosphorylation (By similarity). Inhibits Rac-induced cell migration and invasion in breast and colon epithelial cells (By similarity). Inhibits lamellipodia formation, when overexpressed (By similarity). Plays a role in protection against apoptosis. Involved in association with IRS4 in the enhancement of insulin activation of MAPK1 and MAPK3. When overexpressed, induces a redistribution of cell surface ITGA5 integrin to intracellular endosomal structures."	""	"FALSE"
"12747-89_3"	""	"RBM3"	"RNA-binding protein 3"	"X"	"48432837"	"48437454"	"RBM3"	"ENSG00000102317"	"P98179"	""	""	""	""	""	""	""	"Cold-inducible mRNA binding protein that enhances global protein synthesis at both physiological and mild hypothermic temperatures. Reduces the relative abundance of microRNAs, when overexpressed. Enhances phosphorylation of translation initiation factors and active polysome formation (By similarity)."	""	"FALSE"
"12753-6_3"	""	"APBB2"	"Amyloid beta A4 precursor protein-binding family B member 2"	"4"	"40812044"	"41218731"	"APBB2"	"ENSG00000163697"	"Q92870"	""	""	""	""	""	""	""	"May modulate the internalization of amyloid-beta precursor protein."	""	"FALSE"
"12758-47_3"	""	"GRID2"	"Glutamate receptor ionotropic, delta-2"	"4"	"93224773"	"94695707"	"GRID2"	"ENSG00000152208"	"O43424"	""	""	""	""	""	""	""	"Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. Promotes synaptogenesis and mediates the D-Serine-dependent long term depression signals and AMPA receptor endocytosis of cerebellar parallel fiber-Purkinje cell (PF-PC) synapses through the beta-NRX1-CBLN1-GRID2 triad complex (PubMed:27418511)."	""	"FALSE"
"12761-12_3"	""	"APBB2"	"Amyloid beta A4 precursor protein-binding family B member 2"	"4"	"40812044"	"41218731"	"APBB2"	"ENSG00000163697"	"Q92870"	""	""	""	""	""	""	""	"May modulate the internalization of amyloid-beta precursor protein."	""	"FALSE"
"12775-6_3"	""	"HMGB3"	"High mobility group protein B3"	"X"	"150148982"	"150159248"	"HMGB3"	"ENSG00000029993"	"O15347"	""	""	""	""	""	""	""	"Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. Associates with chromatin and binds DNA with a preference to non-canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters (By similarity). Proposed to be involved in the innate immune response to nucleic acids by acting as a cytoplasmic promiscuous immunogenic DNA/RNA sensor (By similarity). Negatively regulates B-cell and myeloid cell differentiation. In hematopoietic stem cells may regulate the balance between self-renewal and differentiation. Involved in negative regulation of canonical Wnt signaling (By similarity)."	""	"FALSE"
"12777-11_3"	""	"SF01"	"Splicing factor 1"	"11"	"64532078"	"64546258"	"SF1"	"ENSG00000168066"	"Q15637"	""	""	""	""	""	""	""	"Necessary for the ATP-dependent first step of spliceosome assembly. Binds to the intron branch point sequence (BPS) 5'-UACUAAC-3' of the pre-mRNA. May act as transcription repressor."	""	"FALSE"
"12783-29_3"	""	"HNRPM"	"Heterogeneous nuclear ribonucleoprotein M"	"19"	"8509651"	"8553998"	"HNRNPM"	"ENSG00000099783"	"P52272"	""	""	""	""	""	""	""	"Pre-mRNA binding protein in vivo, binds avidly to poly(G) and poly(U) RNA homopolymers in vitro. Involved in splicing. Acts as a receptor for carcinoembryonic antigen in Kupffer cells, may initiate a series of signaling events leading to tyrosine phosphorylation of proteins and induction of IL-1 alpha, IL-6, IL-10 and tumor necrosis factor alpha cytokines."	""	"FALSE"
"12800-5_3"	""	"TPPP2"	"Tubulin polymerization-promoting protein family member 2"	"14"	"21492268"	"21504435"	"TPPP2"	"ENSG00000179636"	"P59282"	""	""	""	""	""	""	""	"May bind tubulin but has no microtubule bundling activity."	""	"FALSE"
"12801-33_3"	""	"IRF2"	"Interferon regulatory factor 2"	"4"	"185308867"	"185395734"	"IRF2"	"ENSG00000168310"	"P14316"	""	""	""	""	""	""	""	"Specifically binds to the upstream regulatory region of type I IFN and IFN-inducible MHC class I genes (the interferon consensus sequence (ICS)) and represses those genes. Also acts as an activator for several genes including H4 and IL7. Constitutively binds to the ISRE promoter to activate IL7. Involved in cell cycle regulation through binding the site II (HiNF-M) promoter region of H4 and activating transcription during cell growth. Antagonizes IRF1 transcriptional activation."	""	"FALSE"
"12807-89_3"	""	"RHG30"	"Rho GTPase-activating protein 30"	"1"	"161016736"	"161039760"	"ARHGAP30"	"ENSG00000186517"	"Q7Z6I6"	""	""	""	""	""	""	""	"GTPase-activating protein (GAP) for RAC1 and RHOA, but not for CDC42."	""	"FALSE"
"12812-25_3"	""	"ACYP2"	"Acylphosphatase-2"	"2"	"54197975"	"54532437"	"ACYP2"	"ENSG00000170634"	"P14621"	""	""	""	""	""	""	""	"Its physiological role is not yet clear."	""	"FALSE"
"12813-18_3"	""	"EHBP1"	"EH domain-binding protein 1"	"2"	"62900986"	"63273622"	"EHBP1"	"ENSG00000115504"	"Q8NDI1"	""	""	""	""	""	""	""	"May play a role in actin reorganization. Links clathrin-mediated endocytosis to the actin cytoskeleton. May act as Rab effector protein and play a role in vesicle trafficking (PubMed:14676205, PubMed:27552051). Required for perinuclear sorting and insulin-regulated recycling of SLC2A4/GLUT4 in adipocytes (By similarity)."	""	"FALSE"
"12817-1_3"	""	"GEM"	"GTP-binding protein GEM"	"8"	"95261481"	"95274578"	"GEM"	"ENSG00000164949"	"P55040"	""	""	""	""	""	""	""	"Could be a regulatory protein, possibly participating in receptor-mediated signal transduction at the plasma membrane. Has guanine nucleotide-binding activity but undetectable intrinsic GTPase activity."	""	"FALSE"
